Мнемоника,Организм

CAVPO,Cavia porcellus (морская свинка)
CHLVA,Chlorella variabilis (зелёная водоросль хлорелла)
DROVI,Drosophila virilis (плодовая мушка)
PHYIT,Phytophthora infestans (фитофтора)
PLABA,Plasmodium berghei (малярийный плазмодий)
YEAST,Saccharomyces cerevisiae (дрожжи)

BACSU,Bacillus subtilis (сенная палочка)
CHLTR,Chlamydia trachomatis
ECOLI,Escherichia coli (кишечная палочка)
MYCMS,Mycoplasma mycoides
MYCTU,Mycobacterium tuberculosis (палочка Коха)
PROMA,Prochlorococcus marinus
